id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,authority,infraspecific_rank,infraspecific_name,infraspecific_authority,stock_subpopulation,synonyms,common_names_eng,common_names_fre,common_names_spa,red_list_status_id,red_list_criteria,red_list_criteria_version,year_assessed,population_trend,petitioned,mass,guild,wpi_include
6812,,2813,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Sarothrura,boehmi,"Reichenow, 1900",,,,,,Streaky-breasted Flufftail,,,8,,,,,,,,
6813,,2814,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Sarothrura,affinis,"(Smith, 1828)",,,,,,Striped Flufftail,,,8,,,,,,,,
6814,,2815,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Sarothrura,insularis,"(Sharpe, 1870)",,,,,,Madagascar Flufftail,,,8,,,,,,,,
6815,,2816,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Sarothrura,ayresi,"(Gurney, 1877)",,,,,,White-winged Flufftail,,,4,,,,,,,,
6820,,2821,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Coturnicops,exquisitus,"(Swinhoe, 1873)",,,,,,Swinhoe's Rail,,,5,,,,,,,,
6821,,2822,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Coturnicops,noveboracensis,"(Gmelin, 1789)",,,,,,Yellow Rail,,,8,,,,,,,,
6822,,2823,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Coturnicops,notatus,"(Gould, 1841)",,,,,,Speckled Rail,,,8,,,,,,,,
6823,,2824,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Micropygia,schomburgkii,"(Schomburgk, 1848)",,,,,,Ocellated Crake,,,8,,,,,,,,
6824,,2825,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,rubra,"(Schlegel, 1871)",,,,,,Chestnut Forest-rail,,,8,,,,,,,,
6825,,2826,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,leucospila,"(Salvadori, 1875)",,,,,,White-striped Forest-rail,,,9,,,,,,,,
6826,,2827,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,forbesi,"(Sharpe, 1887)",,,,,,Forbes's Forest-rail,,,8,,,,,,,,
6827,,2828,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,mayri,"(Hartert, 1930)",,,,,,Mayr's Forest-rail,,,7,,,,,,,,
6828,,2829,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,tricolor,"Gray, 1858",,,,,,Red-necked Crake,,,8,,,,,,,,
6829,,2830,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,canningi,"(Blyth, 1863)",,,,,,Andaman Crake,,,9,,,,,,,,
